,name of item,price (RM),number of downloads,item URL
22,"2024 Digital Planner, GoodNotes Planner, Planner, Daily Planner,Weekly Planner,Notability Planner, iPad Planner Digital,Apple Google Planner",14.18,4800.0,https://www.etsy.com/listing/1647460375/2024-digital-planner-goodnotes-planner?click_key=2a4c54029559edb1a172b7aab02f8370c180dd5d%3A1647460375&click_sum=de744ee5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-15&pro=1&bes=1&sts=1&dd=1
23,"Digital Planner, Goodnotes Planner, iPad Planner, Notability Planner, Dated Digital Planner, 2023 2024 2025 Undated Planner",68.23,10500.0,https://www.etsy.com/listing/1123882489/digital-planner-goodnotes-planner-ipad?click_key=ec2e819b7ed0a91448820c886b4998bf5e1eef41%3A1123882489&click_sum=c4e1eaf5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-16&pro=1&bes=1&sts=1&dd=1
24,2024 Digital Planner by Flourish Planner,147.95,4000.0,https://www.etsy.com/listing/1615622345/2024-digital-planner-by-flourish-planner?click_key=6da4df759566a54c6bd1f90a81d94dd30b93ab87%3A1615622345&click_sum=eb56113c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-9&bes=1&dd=1
25,"Digital Planner GoodNotes, iPad Planner, Notability, That Girl Planner, 2024-2025, Undated Planner, ADHD Planner, Goodnotes iPad Planner",40.18,28.0,https://www.etsy.com/listing/1665906929/digital-planner-goodnotes-ipad-planner?click_key=3e81de8d70605e2df5215a0ba8d9e987c43a7a35%3A1665906929&click_sum=dd81a833&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-10&pro=1&dd=1
26,"Ultimate Master Resell Rights Bundle, Digital Products To Resell, Digital Marketing, Social Media, Passive Income Business, PLR & MRR, Canva",770.33,5.0,https://www.etsy.com/listing/1658659539/ultimate-master-resell-rights-bundle?click_key=7da3435d2b42f3e6238b21d2329f78f425ac6a9d%3A1658659539&click_sum=0f1d3587&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-11&pro=1&dd=1
27,"ADHD Digital Planner 2024 2025 reMarkable iPad Goodnotes notability, Digital journal, daily planner planner digital Dated ADHD Student",42.81,30.0,https://www.etsy.com/listing/1635111959/adhd-digital-planner-2024-2025?click_key=b01601a48b5d9088476ac7a98991de5def01d3bd%3A1635111959&click_sum=7dd65b83&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-12&pro=1&bes=1&dd=1
28,"Digital Planner 2024 2025 & Undated, GoodNotes Planner, Daily Planner, Weekly Planner, Notability Planner, iPad Planner",71.54,7100.0,https://www.etsy.com/listing/776177381/digital-planner-2024-2025-undated?click_key=00091f5ca54f5a084af952bdf53fecd7090e45df%3A776177381&click_sum=76b1ed5e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-17&pro=1&bes=1&dd=1
29,"Digital Planner, Undated Digital planner, Dark Mode Digital Journal, Goodnotes Planner, iPad Planner, Daily Notability Planner, ADHD Planner",5.23,1100.0,https://www.etsy.com/listing/1578304285/digital-planner-undated-digital-planner?click_key=f3704f58358a4ae04a751e23b56a559832074ad8%3A1578304285&click_sum=6a2f402f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-18&pro=1&bes=1&dd=1
30,"2024 Digital Planner & Undated | iPad Planner | GoodNotes Planner | Daily Planner, Weekly, Monthly | Minimalist Planner | Notability Planner",2.59,1100.0,https://www.etsy.com/listing/1662318224/2024-digital-planner-undated-ipad?click_key=753e078127849dbe66111b1f03d14fbe944b681f%3A1662318224&click_sum=8f5aecf7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-19&pro=1&dd=1
31,"Digital Planner, Digital Sticker, Whole Shop Bundle, Budget, Fitness, Notebook, Goals and Meal Planning for iPad and Tablet, GoodNotes Etc..",73.83,2600.0,https://www.etsy.com/listing/1209326250/digital-planner-digital-sticker-whole?click_key=6c120eb8c976ed60fb1ca52af488ea96e5cacf25%3A1209326250&click_sum=85eab8d7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-20&pro=1&bes=1&sts=1&dd=1
